Transaction_ID,User,Amount,Location,Time,Device,Status
TXN2450,Pooja,31685,India,08:58:51,Tablet,Normal
TXN1212,Priya,20946,India,09:06:15,Desktop,Normal
TXN1909,Neha,18655,India,16:23:11,Tablet,Normal
TXN2741,Riya,85084,UK,22:15:02,Desktop,Suspicious
TXN2244,Anjali,47091,India,06:29:29,Desktop,Normal
TXN2696,Sanjay,78332,Singapore,10:51:06,Laptop,Suspicious
TXN2182,Arjun,51928,India,18:24:21,Laptop,Normal
TXN1361,Rohan,39230,India,07:03:18,Tablet,Normal
TXN2473,Rajesh,2246,India,16:35:04,Mobile,Normal
TXN1678,Nisha,46625,USA,09:55:14,Desktop,Normal
TXN2621,Amit,46836,Unknown,00:02:52,Tablet,Suspicious
TXN2089,Ritika,32096,UK,07:41:08,Tablet,Normal
TXN2987,Meera,58431,Germany,09:38:19,Desktop,Suspicious
TXN2847,Meera,57814,UK,04:08:47,Desktop,Suspicious
TXN1987,Nikhil,41981,UAE,11:35:47,Tablet,Normal
TXN2512,Suresh,86056,Russia,03:20:33,Desktop,Suspicious
TXN1111,Karan,50887,Singapore,18:17:48,Tablet,Normal
TXN2487,Suresh,4304,UAE,20:51:29,Laptop,Normal
TXN2453,Rajesh,28847,India,09:29:42,Mobile,Normal
TXN1383,Suresh,14584,USA,21:20:30,Mobile,Normal
TXN2395,Pooja,14787,Singapore,11:58:28,Mobile,Normal
TXN2054,Sanjay,58959,India,15:29:10,Tablet,Normal
TXN1755,Rajesh,56629,India,21:55:10,Laptop,Normal
TXN1324,Manish,52870,UAE,07:04:42,Tablet,Normal
TXN2623,Pooja,84796,India,11:33:00,Desktop,Suspicious
TXN1787,Ritika,26007,India,19:50:43,Mobile,Normal
TXN1368,Riya,34365,India,22:02:02,Laptop,Normal
TXN2819,Shreya,61969,India,23:52:21,Laptop,Suspicious
TXN1069,Riya,50117,India,13:55:10,Desktop,Normal
TXN1857,Riya,10352,UK,11:39:42,Mobile,Normal
TXN2483,Divya,45363,India,11:52:55,Laptop,Normal
TXN2555,Aditya,69517,USA,00:48:17,Mobile,Suspicious
TXN2691,Sneha,82105,India,00:37:15,Tablet,Suspicious
TXN2474,Vivek,43487,India,21:07:31,Mobile,Normal
TXN2798,Aditya,83581,India,15:26:33,Laptop,Suspicious
TXN1478,Amit,18561,India,18:45:50,Desktop,Normal
TXN1281,Manish,44939,India,22:23:01,Mobile,Normal
TXN2647,Ishita,42884,Brazil,23:52:20,Mobile,Suspicious
TXN2556,Rohan,95202,India,09:51:45,Desktop,Suspicious
TXN2729,Pooja,82781,Brazil,23:49:29,Tablet,Suspicious
TXN1210,Ritika,40982,India,08:40:52,Tablet,Normal
TXN1297,Neha,26307,India,17:14:01,Mobile,Normal
TXN2884,Amit,61216,France,22:09:57,Tablet,Suspicious
TXN2833,Karan,79776,Nigeria,22:26:38,Mobile,Suspicious
TXN1651,Anjali,4509,India,16:13:12,Tablet,Normal
TXN2233,Nisha,31509,India,19:10:48,Mobile,Normal
TXN2502,Ishita,91277,India,08:57:33,Desktop,Suspicious
TXN2931,Nikhil,80521,France,10:12:12,Laptop,Suspicious
TXN1916,Shreya,32891,India,14:35:54,Laptop,Normal
TXN1993,Sanjay,51181,India,14:23:28,Tablet,Normal
TXN1429,Neha,49532,India,18:28:14,Desktop,Normal
TXN2370,Nikhil,33715,India,20:17:59,Tablet,Normal
TXN1239,Sneha,38874,India,12:09:42,Tablet,Normal
TXN1879,Ishita,26187,UAE,18:39:41,Mobile,Normal
TXN1620,Manish,53570,India,06:24:50,Mobile,Normal
TXN1256,Ritika,6102,Singapore,16:36:27,Tablet,Normal
TXN1611,Vikram,13984,UK,18:23:43,Laptop,Normal
TXN1544,Rohan,29157,UK,12:31:17,Mobile,Normal
TXN1771,Rajesh,49248,India,19:53:37,Tablet,Normal
TXN2419,Priya,22814,UAE,13:30:58,Mobile,Normal
TXN2041,Vikram,52059,India,09:08:11,Laptop,Normal
TXN2789,Neha,81558,India,01:00:03,Mobile,Suspicious
TXN1759,Aditya,21713,India,21:47:41,Laptop,Normal
TXN1382,Neha,19284,India,15:14:19,Mobile,Normal
TXN2103,Rohan,48485,India,20:24:45,Laptop,Normal
TXN1973,Simran,25059,India,06:49:40,Tablet,Normal
TXN1352,Suresh,4926,India,20:26:30,Tablet,Normal
TXN2605,Aditya,93962,India,14:27:26,Mobile,Suspicious
TXN2825,Kavya,47217,Russia,23:18:22,Laptop,Suspicious
TXN2036,Aditya,36535,India,12:41:08,Desktop,Normal
TXN2107,Karan,14143,India,15:17:34,Mobile,Normal
TXN1494,Nikhil,36758,India,06:46:29,Desktop,Normal
TXN1393,Dev,19824,India,15:41:03,Laptop,Normal
TXN2546,Divya,78348,Unknown,02:02:10,Laptop,Suspicious
TXN1464,Amit,27560,India,18:35:30,Laptop,Normal
TXN1886,Ritika,6909,India,15:46:53,Mobile,Normal
TXN2193,Karan,45684,India,18:03:40,Laptop,Normal
TXN1366,Dev,37035,India,09:08:06,Tablet,Normal
TXN2893,Manish,83251,India,03:05:41,Laptop,Suspicious
TXN2873,Sneha,66814,USA,03:58:59,Tablet,Suspicious
TXN1744,Riya,18583,Singapore,08:23:52,Mobile,Normal
TXN1529,Simran,54910,USA,07:48:46,Tablet,Normal
TXN1802,Sanjay,17815,India,15:01:58,Mobile,Normal
TXN2223,Priya,7843,USA,07:59:34,Desktop,Normal
TXN2978,Arjun,86244,India,18:33:44,Mobile,Suspicious
TXN2905,Akash,61129,Russia,23:05:01,Tablet,Suspicious
TXN2699,Rahul,80544,India,11:55:02,Mobile,Suspicious
TXN2544,Priya,85451,China,19:18:41,Desktop,Suspicious
TXN2313,Suresh,15848,India,10:13:08,Laptop,Normal
TXN1306,Anjali,44540,India,08:33:23,Laptop,Normal
TXN2666,Neha,63562,Russia,09:18:36,Tablet,Suspicious
TXN1862,Vivek,52371,India,22:48:07,Laptop,Normal
TXN2566,Suresh,56878,Russia,06:10:21,Mobile,Suspicious
TXN1530,Simran,15322,India,09:47:53,Desktop,Normal
TXN1654,Vikram,4572,India,06:27:05,Mobile,Normal
TXN2259,Anjali,19084,India,10:31:09,Desktop,Normal
TXN1233,Meera,23212,UK,20:25:26,Laptop,Normal
TXN1120,Sneha,46691,USA,15:54:43,Laptop,Normal
TXN2697,Aditya,61100,USA,19:07:55,Mobile,Suspicious
TXN1949,Vikram,4252,China,06:11:06,Mobile,Normal
TXN1617,Vivek,10740,India,13:41:18,Tablet,Normal
TXN2178,Suresh,8862,India,10:24:42,Desktop,Normal
TXN1307,Rajesh,36656,India,22:35:01,Tablet,Normal
TXN1135,Meera,49885,India,16:22:44,Tablet,Normal
TXN1554,Akash,8903,Singapore,19:44:08,Tablet,Normal
TXN2673,Rahul,87813,USA,23:23:31,Tablet,Suspicious
TXN1583,Priya,57275,Singapore,06:15:02,Tablet,Normal
TXN2640,Anjali,84068,India,23:25:10,Laptop,Suspicious
TXN1670,Rajesh,31025,Singapore,06:50:44,Tablet,Normal
TXN1834,Nisha,34238,India,06:52:37,Tablet,Normal
TXN1109,Amit,43123,India,10:55:29,Desktop,Normal
TXN2164,Tanvi,29847,USA,11:13:36,Mobile,Normal
TXN2959,Rajesh,59155,USA,20:15:07,Desktop,Suspicious
TXN2464,Sneha,54475,India,12:54:01,Desktop,Normal
TXN2728,Manish,68056,USA,03:15:25,Tablet,Suspicious
TXN2242,Suresh,48958,India,12:08:22,Mobile,Normal
TXN1211,Ritika,46945,India,19:07:08,Laptop,Normal
TXN2767,Rahul,66251,Germany,20:32:52,Laptop,Suspicious
TXN2120,Aditya,32949,India,08:30:07,Mobile,Normal
TXN1679,Pooja,49740,India,16:17:46,Tablet,Normal
TXN2950,Rohan,90217,USA,14:41:09,Laptop,Suspicious
TXN2838,Nisha,59313,Nigeria,00:53:54,Tablet,Suspicious
TXN1411,Dev,17217,India,08:33:28,Mobile,Normal
TXN2324,Aditya,45140,China,09:11:53,Mobile,Normal
TXN1782,Sanjay,10524,India,07:12:17,Desktop,Normal
TXN2345,Nisha,25663,India,20:02:02,Desktop,Normal
TXN1874,Dev,47235,India,10:54:55,Laptop,Normal
TXN2652,Sneha,56511,UK,03:40:44,Tablet,Suspicious
TXN2278,Pooja,2625,India,13:28:22,Laptop,Normal
TXN1785,Sneha,41377,Singapore,13:47:41,Tablet,Normal
TXN2818,Dev,63662,India,02:17:09,Laptop,Suspicious
TXN2198,Ishita,13416,India,07:12:01,Desktop,Normal
TXN1807,Akash,7810,India,19:41:52,Laptop,Normal
TXN1712,Vikram,14126,India,19:36:57,Tablet,Normal
TXN2990,Nikhil,87771,China,12:50:56,Tablet,Suspicious
TXN2659,Vikram,90405,India,01:33:50,Tablet,Suspicious
TXN2190,Rajesh,47373,UAE,21:30:27,Tablet,Normal
TXN2225,Vivek,16420,USA,20:37:37,Mobile,Normal
TXN1602,Neha,5894,UAE,12:08:49,Laptop,Normal
TXN1270,Riya,39933,India,18:29:37,Laptop,Normal
TXN2384,Neha,40309,India,16:21:53,Tablet,Normal
TXN1231,Aditya,34131,India,19:06:50,Laptop,Normal
TXN1049,Priya,39284,India,22:58:54,Desktop,Normal
TXN1462,Shreya,27011,India,17:25:29,Desktop,Normal
TXN2105,Karan,31597,Singapore,07:06:33,Mobile,Normal
TXN1855,Vivek,48156,USA,15:05:13,Tablet,Normal
TXN1693,Neha,17540,India,15:45:45,Mobile,Normal
TXN2551,Riya,52280,USA,21:11:26,Tablet,Suspicious
TXN2872,Tanvi,77867,India,14:41:34,Tablet,Suspicious
TXN1526,Nikhil,3022,UK,13:18:02,Mobile,Normal
TXN1173,Sanjay,13491,UAE,22:47:56,Desktop,Normal
TXN1720,Manish,49077,India,13:44:56,Mobile,Normal
TXN1414,Sneha,45583,India,21:05:57,Tablet,Normal
TXN1237,Tanvi,9010,India,17:55:42,Tablet,Normal
TXN2472,Kavya,34643,India,21:14:45,Laptop,Normal
TXN2335,Sneha,16261,UK,19:46:31,Mobile,Normal
TXN2063,Nikhil,58101,India,10:10:55,Desktop,Normal
TXN1023,Sneha,20234,India,11:29:00,Mobile,Normal
TXN2766,Akash,74009,India,15:18:16,Desktop,Suspicious
TXN1063,Priya,1232,India,10:40:16,Desktop,Normal
TXN1289,Pooja,53993,UK,21:57:53,Desktop,Normal
TXN1188,Vivek,2897,India,16:50:03,Mobile,Normal
TXN1701,Ishita,2668,India,21:18:16,Tablet,Normal
TXN2814,Rohan,63823,Germany,00:19:10,Desktop,Suspicious
TXN2137,Rahul,47095,India,17:07:55,Mobile,Normal
TXN1354,Ishita,57411,India,18:08:48,Mobile,Normal
TXN1416,Nikhil,4783,India,20:43:51,Mobile,Normal
TXN2245,Nisha,47080,India,11:50:55,Mobile,Normal
TXN1930,Sneha,7262,India,21:35:03,Laptop,Normal
TXN1196,Sneha,16545,India,17:36:18,Mobile,Normal
TXN1579,Dev,59975,India,16:51:27,Mobile,Normal
TXN2134,Pooja,38373,UK,15:58:59,Tablet,Normal
TXN2813,Amit,63895,Nigeria,05:52:55,Desktop,Suspicious
TXN2934,Pooja,97183,UK,18:00:58,Tablet,Suspicious
TXN1433,Meera,20693,India,07:35:37,Desktop,Normal
TXN1100,Karan,59525,India,08:08:09,Desktop,Normal
TXN2654,Amit,80578,India,18:28:24,Desktop,Suspicious
TXN1394,Manish,38626,India,07:58:58,Desktop,Normal
TXN2938,Riya,80777,India,22:29:31,Laptop,Suspicious
TXN1220,Nikhil,15152,UK,13:21:49,Desktop,Normal
TXN2675,Meera,63157,India,18:10:12,Tablet,Suspicious
TXN2497,Nisha,34826,UK,17:01:28,Desktop,Normal
TXN2784,Suresh,52364,China,01:07:08,Tablet,Suspicious
TXN1344,Karan,47486,India,17:33:57,Mobile,Normal
TXN2027,Neha,25949,India,09:57:20,Tablet,Normal
TXN1888,Ritika,27473,India,06:16:11,Tablet,Normal
TXN2350,Arjun,33420,India,18:39:43,Mobile,Normal
TXN1552,Suresh,7237,India,12:30:04,Desktop,Normal
TXN1743,Tanvi,43414,India,16:22:57,Tablet,Normal
TXN2541,Arjun,71142,USA,17:41:50,Desktop,Suspicious
TXN1538,Nisha,43984,India,10:15:09,Mobile,Normal
TXN1906,Aditya,8888,USA,22:29:20,Laptop,Normal
TXN2394,Ritika,17746,India,08:59:52,Desktop,Normal
TXN1115,Riya,10986,India,10:30:42,Laptop,Normal
TXN1829,Arjun,56057,India,10:43:46,Mobile,Normal
TXN2937,Dev,93118,India,17:49:20,Tablet,Suspicious
TXN1808,Ishita,45960,India,06:29:45,Mobile,Normal
TXN2310,Ritika,2138,India,17:19:44,Mobile,Normal
TXN2004,Meera,57874,India,13:47:41,Laptop,Normal
TXN1305,Pooja,29130,India,17:15:36,Tablet,Normal
TXN2100,Shreya,32631,Singapore,22:09:12,Mobile,Normal
TXN1479,Ishita,26534,India,17:06:05,Laptop,Normal
TXN2423,Vivek,31676,India,08:20:45,Tablet,Normal
TXN2075,Ritika,3348,India,15:20:23,Tablet,Normal
TXN1570,Rajesh,19775,India,22:49:26,Tablet,Normal
TXN1618,Meera,58853,India,21:03:05,Mobile,Normal
TXN2897,Sneha,95202,India,20:45:50,Tablet,Suspicious
TXN2265,Aditya,20928,India,10:57:50,Mobile,Normal
TXN1078,Sanjay,59949,India,12:16:02,Tablet,Normal
TXN2911,Amit,87390,UK,11:58:53,Desktop,Suspicious
TXN1032,Tanvi,43590,India,20:57:33,Tablet,Normal
TXN2537,Sneha,84668,India,10:16:24,Laptop,Suspicious
TXN2033,Simran,19362,India,10:21:57,Tablet,Normal
TXN2562,Rahul,55398,France,13:54:26,Mobile,Suspicious
TXN1351,Neha,53736,UK,18:19:29,Laptop,Normal
TXN1163,Meera,46460,India,15:42:25,Laptop,Normal
TXN1203,Shreya,36350,Singapore,17:33:32,Mobile,Normal
TXN2053,Rajesh,51145,India,07:12:18,Tablet,Normal
TXN2364,Riya,49685,China,08:45:54,Laptop,Normal
TXN2966,Meera,80682,India,08:56:04,Desktop,Suspicious
TXN1495,Aditya,53277,India,08:52:54,Tablet,Normal
TXN2624,Karan,77631,China,03:08:34,Tablet,Suspicious
TXN2965,Anjali,61768,Nigeria,00:00:42,Tablet,Suspicious
TXN2962,Ishita,96225,India,05:50:13,Mobile,Suspicious
TXN1610,Shreya,53023,India,09:00:03,Desktop,Normal
TXN1432,Neha,20776,Singapore,10:42:33,Desktop,Normal
TXN2491,Ishita,58048,India,10:41:23,Mobile,Normal
TXN1218,Amit,44435,India,06:03:50,Mobile,Normal
TXN2930,Rajesh,46744,Unknown,02:45:38,Laptop,Suspicious
TXN2465,Kavya,43508,India,13:27:53,Desktop,Normal
TXN1630,Neha,40430,India,06:33:30,Laptop,Normal
TXN2381,Nisha,5166,Singapore,19:57:23,Laptop,Normal
TXN2301,Priya,19996,India,22:40:59,Laptop,Normal
TXN1059,Ritika,44475,India,10:16:07,Laptop,Normal
TXN1298,Ritika,7493,UK,16:50:09,Desktop,Normal
TXN2710,Sneha,77297,USA,18:59:12,Laptop,Suspicious
TXN1073,Divya,21000,UK,13:14:01,Desktop,Normal
TXN1162,Meera,22843,India,09:54:10,Mobile,Normal
TXN2274,Ritika,21985,India,06:47:34,Mobile,Normal
TXN2593,Aditya,64224,France,00:33:51,Tablet,Suspicious
TXN2433,Nikhil,59385,India,12:37:00,Desktop,Normal
TXN2612,Kavya,66050,Russia,01:46:47,Desktop,Suspicious
TXN1591,Aditya,25135,India,21:49:49,Desktop,Normal
TXN1316,Pooja,24394,Singapore,07:55:41,Mobile,Normal
TXN1045,Kavya,15008,Singapore,18:57:03,Desktop,Normal
TXN2719,Suresh,66732,UK,15:46:25,Mobile,Suspicious
TXN2831,Ishita,56411,UK,18:27:46,Mobile,Suspicious
TXN1427,Riya,51204,UAE,06:15:13,Laptop,Normal
TXN1581,Priya,33742,UK,11:23:10,Mobile,Normal
TXN1076,Anjali,39049,China,14:02:06,Tablet,Normal
TXN2916,Anjali,83984,India,19:01:34,Laptop,Suspicious
TXN2414,Ishita,45380,India,19:11:26,Desktop,Normal
TXN1780,Simran,32481,India,19:43:47,Mobile,Normal
TXN2919,Rohan,77842,USA,17:41:18,Tablet,Suspicious
TXN2173,Rajesh,23112,India,11:20:35,Laptop,Normal
TXN2319,Nisha,49902,UAE,14:37:22,Mobile,Normal
TXN1937,Rajesh,42929,India,15:58:22,Tablet,Normal
TXN1030,Simran,11821,India,22:55:38,Tablet,Normal
TXN2091,Ritika,49666,India,22:19:36,Mobile,Normal
TXN2615,Rohan,81489,Unknown,00:23:08,Desktop,Suspicious
TXN2229,Priya,59359,India,10:13:59,Tablet,Normal
TXN1974,Ishita,13159,Singapore,06:39:54,Mobile,Normal
TXN2084,Ishita,56579,India,19:26:02,Mobile,Normal
TXN1514,Rohan,19241,USA,08:36:06,Desktop,Normal
TXN2550,Rohan,73525,USA,22:08:41,Laptop,Suspicious
TXN2567,Amit,56826,India,13:51:01,Mobile,Suspicious
TXN2810,Simran,80033,UAE,20:16:55,Desktop,Suspicious
TXN2573,Sneha,91651,India,09:54:24,Tablet,Suspicious
TXN1044,Amit,50385,UK,13:10:26,Tablet,Normal
TXN2686,Dev,86403,Brazil,20:18:46,Tablet,Suspicious
TXN1168,Ritika,19876,India,21:07:01,Desktop,Normal
TXN1303,Neha,28513,India,20:04:07,Tablet,Normal
TXN1990,Tanvi,11366,India,20:59:22,Mobile,Normal
TXN1555,Amit,16004,India,08:46:51,Laptop,Normal
TXN2924,Rohan,92253,Singapore,20:52:04,Tablet,Suspicious
TXN1607,Vikram,6977,USA,13:22:25,Laptop,Normal
TXN2618,Nikhil,92196,UK,01:59:08,Desktop,Suspicious
TXN1757,Rajesh,15595,India,18:25:52,Desktop,Normal
TXN1438,Simran,28045,China,19:35:33,Desktop,Normal
TXN1582,Dev,7743,Singapore,09:14:47,Laptop,Normal
TXN2518,Vikram,68935,India,15:02:47,Desktop,Suspicious
TXN1527,Neha,36232,India,11:49:29,Tablet,Normal
TXN1342,Dev,9456,India,22:58:55,Laptop,Normal
TXN2736,Rahul,72597,UK,01:08:36,Desktop,Suspicious
TXN1367,Divya,53094,India,17:48:09,Desktop,Normal
TXN1185,Karan,42077,USA,21:55:34,Laptop,Normal
TXN2116,Nikhil,9637,India,20:06:29,Mobile,Normal
TXN2754,Kavya,56977,USA,00:42:08,Desktop,Suspicious
TXN2425,Nisha,55709,India,17:59:27,Mobile,Normal
TXN1300,Dev,47238,India,20:39:00,Laptop,Normal
TXN2903,Sanjay,96950,India,13:14:06,Desktop,Suspicious
TXN1832,Akash,19390,UK,10:57:34,Desktop,Normal
TXN1543,Ishita,31044,India,17:54:04,Tablet,Normal
TXN2600,Kavya,63730,France,22:23:33,Tablet,Suspicious
TXN1350,Kavya,59261,India,15:41:19,Tablet,Normal
TXN2932,Shreya,84679,USA,08:26:07,Laptop,Suspicious
TXN2510,Nikhil,84697,India,07:51:47,Desktop,Suspicious
TXN1978,Sneha,35288,India,08:02:53,Desktop,Normal
TXN1175,Akash,1168,India,15:53:37,Tablet,Normal
TXN1482,Amit,24194,India,08:38:38,Mobile,Normal
TXN2412,Rohan,57487,UK,14:18:47,Tablet,Normal
TXN2610,Rohan,89308,Unknown,02:00:49,Mobile,Suspicious
TXN1123,Nisha,28528,UK,21:06:27,Mobile,Normal
TXN1599,Amit,39790,India,07:27:42,Desktop,Normal
TXN2794,Vikram,57689,India,20:52:12,Desktop,Suspicious
TXN2745,Aditya,71657,India,13:44:09,Desktop,Suspicious
TXN2378,Rohan,11443,India,10:01:16,Mobile,Normal
TXN2185,Sneha,10428,India,19:13:39,Laptop,Normal
TXN1485,Tanvi,25951,India,10:17:19,Mobile,Normal
TXN1331,Arjun,51788,India,20:13:39,Mobile,Normal
TXN1788,Simran,4525,India,14:12:39,Tablet,Normal
TXN1194,Amit,29949,UAE,17:37:19,Tablet,Normal
TXN1637,Sanjay,21107,USA,15:08:11,Laptop,Normal
TXN1471,Tanvi,59754,India,16:24:48,Desktop,Normal
TXN2713,Karan,84138,India,21:38:37,Desktop,Suspicious
TXN1322,Pooja,30223,India,19:10:44,Tablet,Normal
TXN2196,Sanjay,44301,India,15:44:24,Laptop,Normal
TXN1266,Nisha,42105,India,10:28:04,Tablet,Normal
TXN2543,Divya,91250,Russia,04:58:35,Tablet,Suspicious
TXN2803,Vivek,85018,Unknown,08:19:54,Desktop,Suspicious
TXN1067,Divya,59915,UAE,07:57:22,Desktop,Normal
TXN2737,Manish,45755,Unknown,02:54:48,Laptop,Suspicious
TXN2592,Akash,64833,UK,03:59:13,Mobile,Suspicious
TXN2563,Sneha,84477,France,16:48:02,Desktop,Suspicious
TXN1480,Pooja,30146,India,14:06:08,Laptop,Normal
TXN2756,Tanvi,82001,China,14:22:51,Tablet,Suspicious
TXN2912,Sanjay,87180,UK,00:26:04,Tablet,Suspicious
TXN2440,Ishita,5634,India,18:05:25,Mobile,Normal
TXN2460,Meera,36020,India,06:25:07,Laptop,Normal
TXN1887,Divya,54445,India,13:38:12,Tablet,Normal
TXN1422,Sanjay,6259,India,10:41:55,Mobile,Normal
TXN2674,Ritika,77863,France,12:31:19,Laptop,Suspicious
TXN2449,Manish,45973,USA,10:59:31,Laptop,Normal
TXN1764,Suresh,44068,India,20:07:06,Desktop,Normal
TXN1519,Sneha,16635,India,09:11:23,Desktop,Normal
TXN2431,Nisha,48170,Singapore,10:07:22,Laptop,Normal
TXN1613,Vivek,43335,India,10:05:57,Mobile,Normal
TXN2530,Nikhil,89188,Nigeria,22:07:42,Desktop,Suspicious
TXN2782,Riya,87792,Unknown,00:15:17,Laptop,Suspicious
TXN2658,Manish,70601,UAE,23:38:28,Mobile,Suspicious
TXN1453,Anjali,10172,USA,21:11:58,Laptop,Normal
TXN1730,Simran,17563,India,10:13:44,Laptop,Normal
TXN1534,Shreya,14541,UK,12:51:03,Mobile,Normal
TXN1965,Tanvi,41543,India,07:03:22,Desktop,Normal
TXN2284,Rahul,19654,India,17:19:28,Laptop,Normal
TXN2739,Tanvi,71275,India,01:33:57,Mobile,Suspicious
TXN1261,Karan,52060,India,08:32:40,Laptop,Normal
TXN1535,Simran,19421,India,11:20:45,Mobile,Normal
TXN1968,Ishita,13646,India,18:22:46,Desktop,Normal
TXN1240,Neha,56527,India,17:54:35,Mobile,Normal
TXN1819,Sneha,3737,India,18:34:35,Laptop,Normal
TXN1692,Kavya,9671,India,11:38:51,Laptop,Normal
TXN1420,Pooja,27795,India,10:49:41,Tablet,Normal
TXN2085,Divya,37727,UK,12:00:40,Desktop,Normal
TXN2998,Sneha,68439,India,04:35:47,Tablet,Suspicious
TXN1365,Divya,37256,India,08:24:32,Tablet,Normal
TXN2022,Simran,32655,India,10:44:44,Laptop,Normal
TXN2240,Meera,35807,India,21:51:51,Laptop,Normal
TXN1588,Sanjay,5517,Singapore,20:55:18,Mobile,Normal
TXN1736,Ritika,14611,USA,21:21:15,Laptop,Normal
TXN2761,Kavya,85751,Unknown,22:07:25,Laptop,Suspicious
TXN1941,Dev,32265,India,06:49:27,Mobile,Normal
TXN1071,Shreya,27982,UK,13:17:10,Laptop,Normal
TXN2407,Sanjay,58435,India,13:01:01,Desktop,Normal
TXN1259,Amit,29620,UK,09:15:27,Tablet,Normal
TXN1051,Tanvi,57480,India,18:07:56,Desktop,Normal
TXN1198,Ritika,40741,USA,21:53:57,Mobile,Normal
TXN2788,Pooja,72645,India,08:22:45,Tablet,Suspicious
TXN1650,Suresh,3031,India,11:38:56,Tablet,Normal
TXN1332,Suresh,33191,India,09:08:54,Laptop,Normal
TXN2359,Sanjay,38378,India,16:36:06,Tablet,Normal
TXN1593,Rahul,16269,India,17:40:53,Laptop,Normal
TXN2391,Suresh,52694,India,13:16:35,Tablet,Normal
TXN2800,Ishita,84442,Unknown,16:04:10,Tablet,Suspicious
TXN2314,Meera,46273,USA,09:04:01,Tablet,Normal
TXN2111,Nikhil,17044,India,08:19:39,Mobile,Normal
TXN2006,Karan,36384,India,10:20:32,Desktop,Normal
TXN2326,Dev,21596,India,20:07:33,Desktop,Normal
TXN1426,Vikram,19064,India,09:02:51,Tablet,Normal
TXN2558,Rahul,93813,Brazil,23:55:17,Tablet,Suspicious
TXN2293,Neha,2758,UK,06:09:16,Mobile,Normal
TXN1590,Pooja,37949,UK,15:47:39,Desktop,Normal
TXN2957,Aditya,92116,India,01:41:24,Tablet,Suspicious
